source,target,value
Limerick,A Young Lady of Lynn by Anonymous//171641
Relationships,The Kiss by Robert Graves//240350
Relationships,Red Stains by Allen Tate//240354
Relationships,Edges by Allen Tate//240358
Relationships,I Leave Her Weeping by Liz Rosenberg//240364
Relationships,Night Watch by Mark Smith-Soto//240366
Relationships,The Poet Goes About Her Business by Linda Gregg//240372
Relationships,The Salt Stronger by Fred Marchant//240382
Relationships,Against Epiphany by Fred Marchant//240384
Relationships,Cicada by Fred Marchant//240386
Relationships,Cherries by Leslie Adrienne Miller//240392
Relationships,Middle Age by Jason Shinder//240396
Relationships,Arrow Breaking Apart by Jason Shinder//240398
Relationships,The New Year by Jason Shinder//240400
Relationships,Jacksonville, Vermont by Jason Shinder//240402
Relationships,The Party by Jason Shinder//240404
Relationships,Winter in Gold River by Catie Rosemurgy//240410
Relationships,Miss Peach: The College Years by Catie Rosemurgy//240412
Relationships,Either Or by Nick Lantz//240424
Relationships,Love Poem to Be Read to an Illiterate Friend by Tess Gallagher//240432
Relationships,Black Silk by Tess Gallagher//240438
Relationships,Willingly by Tess Gallagher//240440
Relationships,Now that I am Never Alone by Tess Gallagher//240444
Relationships,Harmless, Recalled as a Fairy Tale by Monica Ferrell//240464
Relationships,Woman as a River Between Borders by Sheryl Luna//240466
Relationships,River Ghost by Sheryl Luna//240468
Relationships,Mercury in Retrograde by Sheryl Luna//240470
Relationships,For the Other World by Ray Gonzalez//240476
Relationships,Kick the Heart by Ray Gonzalez//240478
Relationships,A Ghost Abandons the Haunted by Katie Cappello//240482
Relationships,Closings by Donald Hall//240502
Relationships,Litany by Rebecca Lindenberg//240514
Relationships,We dollhouse monsters by Christopher Shannon//240520
Relationships,The Late Show by Christopher Shannon//240522
Relationships,Delivery Rhyme by Dora Malech//240526
Relationships,Five Minute Agoraphobic Holidays by Rachel Loden//240574
Relationships,The Measure by Jay Wright//240588
Relationships,Love in the Water, Love in the Stone by Jay Wright//240590
Relationships,Areito by Jay Wright//240592
Relationships,What Is Good by Jay Wright//240596
Relationships,The Letter by Mary Ruefle//240608
Relationships,Perpetually Attempting to Soar by Mary Ruefle//240612
Relationships,Esperanza by Judith Ortiz Cofer//240624
Relationships,El Olvido by Judith Ortiz Cofer//240626
Relationships,Worms and Us by Rachel Wetzsteon//240630
Relationships,The Way It Sometimes Is by Henry Taylor//240638
Relationships,from A Short History of Israel, Notes and Glosses by Charles Reznikoff//240644
Relationships,The Lamps Are Burning by Charles Reznikoff//240646
Relationships,The Other Stars by Rachel Wetzsteon//240648
Relationships,R & R by Brian Turner//240654
Relationships,2000 lbs. by Brian Turner//240656
Relationships,Footnote to Howl by Allen Ginsberg//240700
Relationships,Lost in Translation by Gabriel Gomez//240704
Relationships,Bluegrass by Gabriel Gomez//240708
Relationships,The Abuelita Poem by Paul Martinez Pompa//240712
Relationships,Snapshots with Wide Apertures Shown on the Road by Pimone Triplett//240718
Relationships,On Pattern by Pimone Triplett//240720
Relationships,The Packards by Lewis Warsh//240724
Relationships,To Frank Parker by Robert Lowell//240730
Relationships,Have A Good One [In the error] by Anselm Berrigan//240732
Relationships,Let Us Sample Protection Together by Anselm Berrigan//240736
Relationships,Speedway by Cedar Sigo//240756
Relationships,Stranger in Town by Cedar Sigo//240760
Relationships,A Story About Chicken Soup by Louis Simpson//240768
Relationships,Night of Voyeurs by Stuart Dybek//240780
Relationships,Blank by George Bilgere//240784
Relationships,Confessional Poem by Michael Robbins//240796
Relationships,Lark & Merlin by Tom Pickard//240804
Relationships,Please Marry Me by Charles Baxter//240812
Relationships,Life of Savage by Vijay Seshadri//240832
Relationships,The Senses Barely or The Necessities of Life by Rosmarie Waldrop//240884
Relationships,from The Ambition of Ghosts:  I. Remembering into Sleep by Rosmarie Waldrop//240886
Relationships,The Round World by Rosmarie Waldrop//240888
Relationships,Difficulties of a Heavy Body by Rosmarie Waldrop//240890
Relationships,As from a Quiver of Arrows by Carl Phillips//240894
Relationships,My Grandmother Washes Her Feet in the Sink of the Bathroom at Sears by Mohja Kahf//240896
Relationships,Echo & Elixir 2 by Khaled Mattawa//240902
Relationships,Rain Song by Khaled Mattawa//240904
Relationships,East of Carthage: An Idyll by Khaled Mattawa//240908
Relationships,Renunciation by Kazim Ali//240910
Relationships,Thinking American by Hayan Charara//240916
Relationships,The First Sam Hazo at the Last by Samuel Hazo//240918
Relationships,The Pampering of Leora by Thylias Moss//240920
Relationships,Tomato Pies, 25 Cents by Grace Cavalieri//240986
Relationships,For My Wife Cutting My Hair by Bruce Guernsey//240992
Relationships,Monday, September 25, 2006 by Susan M. Schultz//240996
Relationships,Wildpeace by Yehuda Amichai//240998
Relationships,Jerusalem by Naomi Shihab Nye//241002
Relationships,Schwinn by Matthew Zapruder//241008
Relationships,Exodus by Taha Muhammad Ali//241016
Relationships,Meeting at an Airport by Taha Muhammad Ali//241018
Relationships,The New Intelligence by Timothy Donnelly//241020
Relationships,To His Own Device by Timothy Donnelly//241024
Relationships,Making a Fist by Naomi Shihab Nye//241028
Relationships,The Thrift Shop Dresses by Frannie Lindsay//241030
Relationships,As the Dead Prey Upon Us by Charles Olson//241034
Relationships,The Librarian by Charles Olson//241038
Relationships,Canto III by Ezra Pound//241045
Relationships,Canto IV by Ezra Pound//241046
Relationships,Canto XXXVI by Ezra Pound//241050
Relationships,Contributions to a Rudimentary Concept of Nation by Omar Perez//241058
Relationships,The Metaphysical Countrygirl by Omar Perez//241060
Relationships,Wednesday, August 02, 2006 by Susan M. Schultz//241072
Relationships,Sonnet by Todd Swift//241106
Relationships,Soften and Melt by Alicia Ostriker//241138
Relationships,Brief Eden by Lois Beebe Hayna//241162
Relationships,The Duck and the Kangaroo by Edward Lear//241164
Relationships,The Jumblies by Edward Lear//241166
Relationships,Conversion Table by Linh Dinh//241170
Relationships,[asking] by Barbara Jane Reyes//241174
Relationships,dear love, by Barbara Jane Reyes//241182
Relationships,Herodiade by Stephane Mallarme//241186
Relationships,The Pipe by Stephane Mallarme//241190
Relationships,The Table and the Chair by Edward Lear//241196
Relationships,Want by Joan Larkin//241214
Relationships,Chewing slowly by Kabir//241230
Relationships,The Ghost of Heaven by Carolyn Forche//241238
Relationships,Torment by Daisy Fried//241240
Relationships,The Watchman of Ephraim by Paul Hoover//241246
Relationships,People Met by Gottfried Benn//241266
Relationships,Book Nine by Kathleen Graber//241278
Relationships,Mulatto by Roxane Beth Johnson//241280
Relationships,What I Do by Roxane Beth Johnson//241282
Relationships,Blues for Almost Forgotten Music by Roxane Beth Johnson//241286
Relationships,The Aunts by Joyce Sutphen//241314
Relationships,Bearings by Megan Snyder-Camp//241316
Relationships,The Forest of Sure Things by Megan Snyder-Camp//241318
Relationships,Recording by Megan Snyder-Camp//241322
Relationships,The Amaranth by Matthew Rohrer//241324
Relationships,Childhood Stories by Matthew Rohrer//241326
Relationships,Pig-In-A-Blanket by Matthew Rohrer//241330
Relationships,And the Ship Sails On by Joel Brouwer//241342
Relationships,The Exact Change by Joel Brouwer//241344
Relationships,Focus by Joel Brouwer//241346
Relationships,A Time of Bees by Mona Van Duyn//241348
Relationships,In the Cold Kingdom by Mona Van Duyn//241350
Relationships,On What Planet by Kenneth Rexroth//241356
Relationships,Delia Rexroth by Kenneth Rexroth//241362
Relationships,Airs and Angels: This Night Only by Kenneth Rexroth//241368
Relationships,Home Again, Home Again by Marilyn L. Taylor//241372
Relationships,Punk Half Panther by Juan Felipe Herrera//241376
Relationships,Lost in the Hospital by Rafael Campo//241380
Relationships,My Voice by Rafael Campo//241382
Relationships,Madonna and Child by Rafael Campo//241384
Relationships,What I Would Give by Rafael Campo//241390
Relationships,The Four Humours by Rafael Campo//241392
Relationships,Blister by Francisco Aragon//241416
Relationships,Poem to an Unnameable Man by Dorothea Lasky//241428
Relationships,Some Sort of Truth by Dorothea Lasky//241430
Relationships,Smooth Horizon of the Verb Love by Nicole Brossard//241440
Relationships,Lucifer by Dean Young//241442
Relationships,Grave by Justin Chin//241450
Relationships,Oh God by Michelle Tea//241452
Relationships,Snow by Maureen Seaton//241458
Relationships,Home by Kazim Ali//241462
Relationships,For William McN. who studied with Ezra Pound by John Cage//241464
Relationships,Female Masculinity by Wayne Koestenbaum//241466
Relationships,Present Light by Charles Ghigna//241472
Relationships,Southern Bred by Charles Ghigna//241476
Relationships,Poem for Haruko by June Jordan//241480
Relationships,Pride Diary by Jenny Factor//241484
Relationships,Winter by Timothy Liu//241494
Relationships,Nocturnal Admissions by Chip Livingston//241496
Relationships,Pulse: 1 by Fady Joudah//241498
Relationships,The Tea and Sage Poem by Fady Joudah//241500
Relationships,Sleeping Trees by Fady Joudah//241502
Relationships,The Whip by Robert Creeley//241510
Relationships,Kora in Hell: Improvisations II by William Carlos Williams//241516
Relationships,Macular Hole by Catherine Wagner//241520
Relationships,My New Job by Catherine Wagner//241524
Relationships,In this order by Laura Kasischke//241554
Relationships,Amidwives: Two Portraits by Todd Boss//241572
Relationships,Your Voice by Francisco Aragon//241608
Relationships,Kora in Hell: Improvisations XXII by William Carlos Williams//241620
Relationships,Where I've Been All My Life by Carolyn Kizer//241632
Relationships,October 1973 by Carolyn Kizer//241636
Relationships,Symphony No.3, in D Minor by Jonathan Williams//241640
Relationships,Folk Education by Paul Foster Johnson//241652
Relationships,Chat Room by Paul Foster Johnson//241654
Relationships,elegy for kari edwards by Julian Talamantez Brolaski//241662
Relationships,sisters by Lucille Clifton//241674
Relationships,my poem by Lucille Clifton//241676
Relationships,cutting greens by Lucille Clifton//241678
Relationships,Midwinter by John Unterecker//241702
Relationships,13 December by Kate Greenstreet//241710
Relationships,[I did something I could never discuss] by Paul Foster Johnson//241722
Relationships,The Vein by Tom Raworth//241724
Relationships,The Chamber by Michael McClure//241728
Relationships,Unravelling / Shock by Nathaniel Tarn//241740
Relationships,Peanut Butter by Eileen Myles//241746
Relationships,Snakes by Eileen Myles//241748
Relationships,Cornflowers by Brenda Cardenas//241758
Relationships,Lecciones de lengua by Brenda Cardenas//241762
Relationships,Klein on Mourning by Francisco Aragon//241768
Relationships,Lagos by Rashidah Ismaili//241778
Relationships,Lonely Eagles by Marilyn Nelson//241780
Relationships,Place and Time by Lisel Mueller//241782
Relationships,Beginning with 1914 by Lisel Mueller//241788
Relationships,Virtuosi by Lisel Mueller//241792
Relationships,Romantics by Lisel Mueller//241794
Relationships,Linens by Kay Ryan//241810
Relationships,Asylum by Sasha Dugdale//241818
Relationships,The Land of Nod by James Arthur//241826
Relationships,Preserves by Stephen Yenser//241828
Relationships,Wichita Triptych by Stephen Yenser//241832
Relationships,February Snow by Francisco Aragon//241870
Relationships,Birthday Poem by Al Young//241924
Relationships,Aunt by Al Young//241930
Relationships,Student Letter by Stephen Sandy//241946
Relationships,Charley by Stephen Sandy//241948
Relationships,Earth Day Story by Stephen Sandy//241950
Relationships,Food of Love by Carolyn Kizer//241958
Relationships,Afternoon Happiness by Carolyn Kizer//241960
Relationships,Five Psalms by Mark Jarman//241978
Relationships,In the Event of Change by Tsering Wangmo Dhompa//241984
Relationships,She Is by Tsering Wangmo Dhompa//241986
Relationships,Bardo by Tsering Wangmo Dhompa//241992
Relationships,How You Know by Joe Mills//242022
Relationships,Doric by Angelos Sikelianos//242038
Relationships,Goats by Eugenio de Andrade//242074
Relationships,The Portrait by Edith Sodergran//242082
Relationships,The Unfaithful Housewife by Federico Garcia Lorca//242108
Relationships,Dusting by Rita Dove//24214
Relationships,First Encounter Beach by Alison Hawthorne Deming//242146
Relationships,Eve Revisited by Alison Hawthorne Deming//242148
Relationships,Himself by Thomas P. Lynch//242152
Relationships,After Love by Maxine W. Kumin//242154
Relationships,Millennium, Six Songs by Marilyn Chin//242162
Relationships,Horse Horse Hyphen Hyphen by Marilyn Chin//242164
Relationships,What to Wear Where by J. Patrick Lewis//242190
Relationships,May You Always be the Darling of Fortune by Jane Miller//242226
Relationships,No Epitaph by Donald Davie//242254
Relationships,Mocking Bird Hotel by Valzhyna Mort//242262
Relationships,The Manhattan Project by Spencer Reece//242266
Relationships,In the High Country by David St. John//242270
Relationships,From a Bridge by David St. John//242272
Relationships,Momma Said by Calvin Forbes//242276
Relationships,Pajama Quotient by Linda Gregerson//242284
Relationships,That Evening At Dinner by David Ferry//242294
Relationships,In Eden by David Ferry//242300
Relationships,Seen Through a Window by David Ferry//242302
Relationships,After School, Street Football, Eighth Grade by Dennis Cooper//242336
Relationships,Book 5, Epigram 20: In Misum & Mopsam. by Thomas Bastard//242360
Relationships,Book 4, Epigram 7: "Our fathers did but use the world before" by Thomas Bastard//242382
Relationships,Autobiography 2 (hellogoodby) by Michael Palmer//242394
Relationships,Autobiography 3 by Michael Palmer//242396
Relationships,The Difference Between Pepsi and Coke by David Lehman//242406
Relationships,Twenty Questions by David Lehman//242408
Relationships,For I Will Consider Your Dog Molly by David Lehman//242412
Relationships,Lastness by Galway Kinnell//242416
Relationships,Our Nature by Rae Armantrout//242418
Relationships,ABBA by Dennis Cooper//242426
Relationships,A poem for vipers by John Wieners//242430
Relationships,A Poem for the Old Man by John Wieners//242434
Relationships,The Layers by Stanley Kunitz//242450
Relationships,Falling Water by John Koethe//242466
Relationships,White Buttons by Mary Ruefle//242468
Relationships,The Flurry by Sharon Olds//242474
Relationships,Pieta by Kevin Young//242476
Relationships,The Watchers by William Stanley Braithwaite//242542
Relationships,October by Bill Berkson//242564
Relationships,Christmas Eve by Bill Berkson//242566
Relationships,Variation by Bill Berkson//242568
Relationships,Thuringian Equals by Bill Berkson//242570
Relationships,January in Detroit or Search for Tomorrow Starring Ken and Ann by Ken Mikolowski//242576
Relationships,The Test of Fantasy by Joanne Kyger//242594
Relationships,[He is pruning the privet] by Joanne Kyger//242602
Relationships,Epithalamion by Robert Fernandez//242608
Relationships,Fairy Tales from the Web by Ish Klein//242610
Relationships,No Promissory Notes by Ish Klein//242612
Relationships,Reading by David Dominguez//242614
Relationships,Wedding Portrait by David Dominguez//242616
Relationships,Song for Baby-O, Unborn by Diane di Prima//242638
Relationships,The Window by Diane di Prima//242640
Relationships,First Snow, Kerhonkson by Diane di Prima//242642
Relationships,An Exercise in Love by Diane di Prima//242646
Relationships,The Road to Emmaus by Spencer Reece//242650
Relationships,Poem (Internal Scene) by Dan Beachy-Quick//242654
Relationships,Boonies by D. A. Powell//242666
Relationships,Mean by Colette Labouff Atkinson//242714
Relationships,Hart Crane Slept Here by Colette Labouff Atkinson//242716
Relationships,Mental Mommy by Liam Rector//242728
Relationships,January 6 by Vicki Hearne//242732
Relationships,Time in a Brown House by Mark Halliday//242746
Relationships,Poetry Failure by Mark Halliday//242748
Relationships,Divorced Fathers and Pizza Crusts by Mark Halliday//242750
Relationships,Pasco, Barbara by Mark Halliday//242756
Relationships,Playa Colorada by Peg Boyers//242762
Relationships,Agony in the Garden by Peg Boyers//242764
Relationships,Queen Christina by Randall Mann//242766
Relationships,The Mortician in San Francisco by Randall Mann//242770
Relationships,The End of Landscape by Randall Mann//242772
Relationships,Breakfast with Thom Gunn by Randall Mann//242774
Relationships,Anonymous Lyric by Connie Voisine//242776
Relationships,Innocents We by Paul Verlaine//242782
Relationships,Mobius by David Gewanter//242804
Relationships,River by Greg Miller//242806
Relationships,Proteus by Don Bogen//242810
Relationships,Vaporizer by Don Bogen//242814
Relationships,Give It Back by Don Bogen//242816
Relationships,Don Giovanni by Olivia Clare//242874
Relationships,A Reminiscence by Richard O. Moore//242910
Relationships,Dear Bryan Wynter by W. S. Graham//242916
Relationships,The Return by Jan Owen//242930
Relationships,Equation by Caroline Caddy//242948
Relationships,Night Life by Vivian Smith//242972
Relationships,Pretty Convincing by Tim Dlugos//242984
Relationships,Ordinary Time by Tim Dlugos//242986
Relationships,The Far West by Tim Dlugos//242990
Relationships,Parachute by Tim Dlugos//242992
Relationships,D.O.A. by Tim Dlugos//242994
Relationships,The Paradise Flick by Michael Sharkey//243000
Relationships,Imaginary Countries: The Real World by Michael Sharkey//243004
Relationships,Enter a Cloud by W. S. Graham//243040
Relationships,Tras Os Montes by L. E. Sissman//243052
Relationships,[A drunk cadet had hit them] by Susan Hampton//243062
Relationships,from Totem Poem [Abandoned in a field near Yass] by Luke Davies//243070
Relationships,Love Song: I and Thou by Alan Dugan//243074
Relationships,Fabrication of Ancestors by Alan Dugan//243077
Relationships,Monologue of a Commercial Fisherman by Alan Dugan//243080
Relationships,Old Bones by Gary Snyder//243088
Relationships,Finding the Space in the Heart by Gary Snyder//243094
Relationships,The Friends of Heraclitus by Charles Simic//243112
Relationships,Paris Latin Quarter by Femi Osofisan//243116
Relationships,From the First, the Body Was Dirt by Camille T. Dungy//243120
Relationships,To the Angelbeast by Eduardo C. Corral//243158
Relationships,To Robert Hayden by Eduardo C. Corral//243160
Relationships,How She Bowed to her Brother by Gertrude Stein//243162
Relationships,Idem the Same: A Valentine to Sherwood Anderson by Gertrude Stein//243164
Relationships,Shepherd Road by Ashley Anna McHugh//243170
Relationships,Hard Times by Michael Ryan//243212
Relationships,A Summer Garden by Louise Gluck//243220
Relationships,Afterword by Louise Gluck//243222
Relationships,Psalm 55 by Mary Sidney Herbert Countess of Pembroke//243248
Relationships,Psalm 57 by Mary Sidney Herbert Countess of Pembroke//243250
Relationships,My Grandmother Plays Emily in Our Town by Rachel Richardson//243300
Relationships,First Miracle by A. E. Stallings//243308
Relationships,Sonnets Uncorseted by Maxine W. Kumin//243326
Relationships,Psalm to Be Read with Closed Eyes by D. Nurkse//243352
Relationships,Fin de Fete by Charlotte Mew//243432
Relationships,Madeleine in Church by Charlotte Mew//243434
Relationships,To Mary Sidney, On Reading Her Psalms by Jacqueline Osherow//243446
Relationships,Dirty Face by Shel Silverstein//243466
Relationships,Sunday Calls by Chard DeNiord//243484
Relationships,The Percherons by Chard DeNiord//243486
Relationships,Never Mind by Dorothea Tanning//243568
Relationships,Lucky by Dorothea Tanning//243570
Relationships,Alteration Finds by Geoffrey Brock//243590
Relationships,Now it is fall by Edith Sodergran//243596
Relationships,The Youngest Living Thing in L.A. by Darcie Dennigan//243690
Relationships,I Too Have Been to Candyland by Anthony Madrid//243700
Relationships,A Blind Fisherman by Stanley Moss//243708
Relationships,Poets at Lunch by Stanley Moss//243710
Relationships,In Colorado My Father Scoured and Stacked Dishes by Eduardo C. Corral//243752
Relationships,! by Wendy Videlock//243788
Relationships,Numbered by Tara Bray//243794
Relationships,[During the Second World War . . .] by Charles Reznikoff//243834
Relationships,Coming of the August Grandchild by Brandon Shimoda//243840
Relationships,The Pond Museum by Brandon Shimoda//243842
Relationships,The Cafe Filtre by Paul Blackburn//243860
Relationships,Journal: April 19 : The Southern Tier by Paul Blackburn//243864
Relationships,The Universe as Primal Scream by Tracy K. Smith//243878
Relationships,Dispatches from an Unfinished World by Rebecca Lindenberg//243896
Relationships,Getting There by Christopher Buckley//243936
Relationships,The Dream of a Lacquer Box by Kimiko Hahn//243938
Relationships,The Dream of a Fire Engine by Kimiko Hahn//243940
Relationships,What to Say Upon Being Asked to Be Friends by Julian Talamantez Brolaski//244002
Relationships,[Trying to see the proportional relation] by Ariana Reines//244004
Relationships,Cool Dust by Aaron Shurin//244012
Relationships,Plume by Aaron Shurin//244014
Relationships,Then by Aaron Shurin//244016
Relationships,The Story of Madame Chevalier by CiarA!n Carson//244058
Relationships,Campaign by CiarA!n Carson//244062
Relationships,Kaymakamlar Gezi Evi, Selamlik Odasi by Sasha Steensen//244070
Relationships,Their Story by Stuart Dybek//244084
Relationships,Christmas Trees by William Logan//244086
Relationships,The Shoe Box by W. S. Di Piero//244106
Relationships,Moving Things by W. S. Di Piero//244108
Relationships,Invocation by Denise Levertov//244120
Relationships,The Pear by Ruth Stone//244126
Relationships,Northumberland House by Stevie Smith//244140
Relationships,Lament for the Feet by H. L. Hix//244170
Relationships,Be Someone by Rita Ann Higgins//244172
Relationships,The Blight by James Lasdun//244176
Relationships,I Had Just Hung Up from Talking to You by Jessica Greenbaum//244182
Relationships,A Poem for S. by Jessica Greenbaum//244184
Relationships,There Is No Word by Tony Hoagland//244194
Relationships,Your Other Heart by Natalie Shapero//244200
Relationships,End of Side A by Adrian Matejka//244210
Relationships,from The Lost Letters of Frederick Douglass by Evie Shockley//244256
Relationships,where you are planted by Evie Shockley//244260
Relationships,[We are the knife people . . .] by John Spaulding//244264
Relationships,The Golden Shovel by Terrance Hayes//244278
Relationships,An Old Story by Richard Hoffman//244328
Relationships,Long Enough by Richard Hoffman//244330
Relationships,The Change by Allison Adelle Hedge Coke//244360
Relationships,Wokiksuye by Allison Adelle Hedge Coke//244362
Relationships,Tear by Linda Hogan//244364
Relationships,The History of Red by Linda Hogan//244366
Relationships,Poem for My Father by Quincy Troupe//244380
Relationships,Three Songs from the 50s by Victor Hernandez Cruz//244390
Relationships,El Poema de lo Reverso by Victor Hernandez Cruz//244394
Relationships,Things keep sorting themselves. by Jane Hirshfield//244416
Relationships,Oedipal Strivings by Frederick Seidel//244428
Relationships,Victory Parade by Frederick Seidel//244432
Relationships,The Gulf, 1987 by Deborah Paredez//244442
Relationships,By the Same Author by James Longenbach//244456
Relationships,Marooned by Leigh Stein//244492
Relationships,Immortality by Leigh Stein//244496
Relationships,Chinese Quatrains (The Woman in Tomb 44) by Marilyn Chin//244500
Relationships,Rhapsody in Plain Yellow by Marilyn Chin//244504
Relationships,Salt Hill by Jane Springer//244506
Relationships,The American on His First Honeymoon by Rita Mae Reese//244514
Relationships,Artless by Brenda Shaughnessy//244536
Relationships,Liquid Flesh by Brenda Shaughnessy//244538
Relationships,Magi by Brenda Shaughnessy//244540
Relationships,A Rose for George by Catherine Wagner//244560
Relationships,Accounting by Todd Boss//244576
Relationships,Game by Laura Kasischke//244582
Relationships,Moon by Kathleen Jamie//244600
Relationships,Before Anything Happened the House Had No Skeleton by Karyna McGlynn//244668
Relationships,I Have to Go Back to 1994 and Kill a Girl by Karyna McGlynn//244672
Relationships,The Persians by Archilochos by Brandon Brown//244682
Relationships,#104 from The Poems of Gaius Valerius Catullus by Brandon Brown//244686
Relationships,The Visitor by Idra Novey//244700
Relationships,Imperial City by Richie Hofmann//244742
Relationships,I Remember Loteria by Jacob Saenz//244746
Relationships,pantoum: landing, 1976 by Evie Shockley//244780
Relationships,lifeline by Evie Shockley//244792
Relationships,A Small Anatomy of Feeling by Anna Rabinowitz//244800
Relationships,from A Treatise on Painting by Anna Rabinowitz//244802
Relationships,Flirtation by Rita Dove//24488
Relationships,Dead by Sarah C. Harwell//244892
Relationships,I Was Just Frosted by Susan Wheeler//244896
Relationships,Incident by Natasha Trethewey//244902
Relationships,Miscegenation by Natasha Trethewey//244904
Relationships,South by Natasha Trethewey//244908
Relationships,Father, in Drawer by Lucie Brock-Broido//244924
Relationships,To C by Forrest Gander//245004
Relationships,Voiced Stops by Forrest Gander//245006
Relationships,Line of Descent by Forrest Gander//245008
Relationships,Ligature by Forrest Gander//245010
Relationships,Ligature 4 by Forrest Gander//245014
Relationships,At the New Year by Kenneth Patchen//245040
Relationships,The Entertainment of War by Roy Fisher//245046
Relationships,Waiting for This Story to End Before I Begin Another by Jan Heller Levi//245058
Relationships,The Length of the Hour by Cynthia Huntington//245062
Relationships,Painted Eyes by Henri Cole//245066
Relationships,Shot Up in the Sexual Revolution: The True Adventures of Suzy Creamcheese by Cynthia Huntington//245094
Relationships,Dirt Cowboy Cafe by Cynthia Huntington//245096
Relationships,The Aureole by Nikky Finney//245098
Relationships,A Vase by Brad Leithauser//245118
Relationships,Not for You, Not for the World by Barbara Perez//245136
Relationships,My Dad, in America by Shann Ray//245138
Relationships,New Kind of Light by Zachary Schomburg//245182
Relationships,The One About the Robbers by Zachary Schomburg//245192
Relationships,Abraham Lincoln of Rock Spring Farm by Melvin B. Tolson//245212
Relationships,ETA by Melvin B. Tolson//245220
Relationships,Monstrance Man by Ricardo Pau-Llosa//245224
Relationships,Sapphic Fragment by Eliza Griswold//245238
Relationships,Hollywood & God by Robert Polito//245292
Relationships,Your Invitation to a Modest Breakfast by Hannah Gamble//245302
Relationships,Photo of a Man on Sunset Drive: 1914, 2008 by Richard Blanco//245310
Relationships,America by Richard Blanco//245318
Relationships,El Florida Room by Richard Blanco//245320
Relationships,Contemplations at the Virgin de la Caridad Cafeteria, Inc. by Richard Blanco//245322
Relationships,Burning in the Rain by Richard Blanco//245324
Relationships,Since Unfinished by Richard Blanco//245326
Relationships,The Color Green by Chana Bloch//245366
Relationships,Blood Honey by Chana Bloch//245370
Relationships,Kauai by Rachel Jamison Webster//245378
Relationships,Devotions by Bruce Snider//245408
Relationships,For Clifford Bernel by Mark O'Brien//245454
Relationships,Bean Spasms by Ted Berrigan//245472
Relationships,Curse Two: The Naming by Cynthia Huntington//245474
Relationships,Ghost by Cynthia Huntington//245476
Relationships,After Peire Vidal, & Myself by Ted Berrigan//245488
Relationships,Around the Fire by Ted Berrigan//245492
Relationships,So Going Around Cities by Ted Berrigan//245504
Relationships,New Personal Poem by Ted Berrigan//245506
Relationships,Something Amazing Just Happened by Ted Berrigan//245508
Relationships,People Who Died by Ted Berrigan//245510
Relationships,Twelve Twelve Twelve by Aimee Nezhukumatathil//245512
Relationships,What I Learned From the Incredible Hulk by Aimee Nezhukumatathil//245520
Relationships,Red Ghazal by Aimee Nezhukumatathil//245522
Relationships,After the Auction, I Bid You Good-Bye by Aimee Nezhukumatathil//245524
Relationships,First Anniversary, With Monkeys by Aimee Nezhukumatathil//245526
Relationships,Harlan County by Kate Buckley//245530
Relationships,On Hearing Your News by Kate Buckley//245534
Relationships,The Appeal of Antiques by Allan Peterson//245538
Relationships,The Sacred Circle by Adrian C. Louis//245544
Relationships,Farewell to Matilda by Thomas Love Peacock//245552
Relationships,Angelhair by Angela Jackson//245564
Relationships,The Gulf of Blues by Angela Jackson//245566
Relationships,This Is Just To Say by William Carlos Williams//245576
Relationships,For Jane by Stephen Stepanchev//245578
Relationships,The Second Sex by Michael Robbins//245592
Relationships,Nothing by Randall Mann//245618
Relationships,Order by Randall Mann//245620
Relationships,Mama Said ... by Mary Moore Easter//245628
Relationships,The Long Evenings of Their Leavetakings by Eavan Boland//245712
Relationships,Eight Presidents by Allan Peterson//245730
Relationships,Moon Missing by Allan Peterson//245732
Relationships,Section 16 from 'Draft 85: Hard Copy' by Rachel Blau DuPlessis//245734
Relationships,Section 29 from 'Draft 85: Hard Copy' by Rachel Blau DuPlessis//245736
Relationships,Still Life with a Bedroom on an Airshaft by Nuar Alsadir//245740
Relationships,Aperture by Nuar Alsadir//245744
Relationships,Guest by Nuar Alsadir//245746
Relationships,Sonnet 121: 'Tis better to be vile than vile esteemed by William Shakespeare//245766
Relationships,On Gardens by Rick Barot//245804
Relationships,The Storm-struck Tree by Jessica Greenbaum//245812
Relationships,A Tale Told by Atheneus (Venus Callipygus) by Marie Ponsot//245886
Relationships,Among Women by Marie Ponsot//245898
Relationships,Why Some Girls Love Horses by Paisley Rekdal//245906
Relationships,Flowers from a New Love after the Divorce by Paisley Rekdal//245908
Relationships,Happiness by Paisley Rekdal//245910
Romantic Love,[love is more thicker than forget] by E. E. Cummings//11427
Romantic Love,Song ("The world is full of loss ... ") by Muriel Rukeyser//12249
Romantic Love,In Love with You by Kenneth Koch//15850
Romantic Love,Odes by Ricardo Reis//15984
Romantic Love,If It Were Not for You by Hayden Carruth//171283
Romantic Love,Movement Song by Audre Lorde//171289
Romantic Love,Summer near the River by Carolyn Kizer//171299
Romantic Love,Sonnet #10 by Hayden Carruth//171313
Romantic Love,To the Harbormaster by Frank O'Hara//171373
Romantic Love,The Healing Improvisation of Hair by Jay Wright//171458
Romantic Love,The Lake in Central Park by Jay Wright//171462
Romantic Love,The Rain by Robert Creeley//171562
Romantic Love,In a Garden by Amy Lowell//171721
Romantic Love,The Blue Scarf by Amy Lowell//171723
Romantic Love,Patterns by Amy Lowell//171725
